objectID,bikeRouteName,Geom
226977,Seaside,"{""coordinates"": [[-123.13623206653764, 49.27730955847863], [-123.13632359339844, 49.277427077880304], [-123.13685924122456, 49.27774984499791], [-123.1376433870422, 49.27855606769871], [-123.1376566981454, 49.278613699278026], [-123.13764270875741, 49.278678917534236], [-123.1375994080945, 49.27876287708049], [-123.13760318514692, 49.278816832891046], [-123.13764325810867, 49.278876320685825], [-123.13772350121751, 49.27894961137818], [-123.13777321143579, 49.27896284520039], [-123.13787417021966, 49.27898972202493], [-123.13804795926833, 49.27902674649343], [-123.13819652759216, 49.27908592541975], [-123.13834401003102, 49.279162281757074], [-123.13855126921595, 49.2793701396867], [-123.1388964819829, 49.27965067808046], [-123.13936357827977, 49.27985516084966], [-123.13943276354799, 49.27990427653475], [-123.13946478265404, 49.27996769080744], [-123.13946479788714, 49.27996772946834], [-123.13956302118095, 49.28035042512137], [-123.13956303914888, 49.28035045838183], [-123.13959335954081, 49.280405189818225], [-123.13965153216411, 49.280449276872304], [-123.14025965420947, 49.28088462129128], [-123.14035711089761, 49.280945933741236], [-123.14040679363808, 49.28102941252305], [-123.1404317138252, 49.28106644418207], [-123.14044564197133, 49.28108288033851], [-123.14046163259094, 49.28110175168002], [-123.14053317851183, 49.28115901435971], [-123.14055913471007, 49.281179777846624], [-123.1406716953759, 49.28124853315657], [-123.14075654118776, 49.28130707031301], [-123.14083083448266, 49.281371425757335], [-123.14083087308633, 49.281371462590506], [-123.14092709900555, 49.28147989460587], [-123.14093538182422, 49.28148667226647], [-123.14095266825672, 49.28150081858946], [-123.14113792822266, 49.281583432664156], [-123.14143399196749, 49.28183730681803], [-123.14149489251346, 49.2821541522054], [-123.14149889392873, 49.28220228860241], [-123.14150299565189, 49.2822513603746], [-123.14150300674177, 49.28225139184415], [-123.14156002487634, 49.28234137183933], [-123.14156004972124, 49.28234140509105], [-123.14196302748111, 49.2827702640557], [-123.1421228879415, 49.282940388537796]], ""type"": ""LineString""}"
226990,Cambie,"{""coordinates"": [[-123.10911899996232, 49.28351872485798], [-123.1091830047273, 49.283368256076834]], ""type"": ""LineString""}"
227036,Dunsmuir,"{""coordinates"": [[-123.11421496659341, 49.28220336320822], [-123.11444927637942, 49.282354701906236]], ""type"": ""LineString""}"
227052,Seaside,"{""coordinates"": [[-123.20869962387428, 49.27489397054007], [-123.20966351340886, 49.27491583164871], [-123.20972013906027, 49.27491711594524], [-123.21044102860922, 49.27503060644561], [-123.21097385674697, 49.275114486474486], [-123.2117256206488, 49.275339553740565]], ""type"": ""LineString""}"
227068,Richards,"{""coordinates"": [[-123.11190413928644, 49.28403762754554], [-123.11190418461753, 49.28403760771226], [-123.11240538377129, 49.28370642535542]], ""type"": ""LineString""}"
227101,10th Ave,"{""coordinates"": [[-123.12185644845239, 49.26236322732827], [-123.12321750552032, 49.26238520736935]], ""type"": ""LineString""}"
227110,Cambie,"{""coordinates"": [[-123.10937943371368, 49.282905898188716], [-123.10954633718234, 49.28251140954517]], ""type"": ""LineString""}"
227155,Arbutus Greenway,"{""coordinates"": [[-123.15543395948009, 49.22836928450263], [-123.155425252475, 49.22833935548256], [-123.15539472529619, 49.22823858842893], [-123.15534601639682, 49.22811906730392], [-123.1553008207019, 49.22802747082885]], ""type"": ""LineString""}"
227158,Arbutus Greenway,"{""coordinates"": [[-123.1525825548592, 49.258213796749146], [-123.15258681603183, 49.25810349806841], [-123.15260090313313, 49.25775371213293]], ""type"": ""LineString""}"
227159,Arbutus Greenway,"{""coordinates"": [[-123.15246136562153, 49.26147356422339], [-123.15246514041179, 49.261356896742086], [-123.15248051018649, 49.260994623072726]], ""type"": ""LineString""}"
